Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_8897	0	1
SRR2075686_rloop_peak_8894	0	1
SRR2075686_rloop_peak_889	0	1
SRR2075686_rloop_peak_8886	0	1
SRR2075686_rloop_peak_888	0	1
SRR2075686_rloop_peak_8877	0	1
SRR2075686_rloop_peak_8876	0	1
SRR2075686_rloop_peak_8861	0	1
SRR2075686_rloop_peak_8848	0	1
SRR2075686_rloop_peak_8833	0	1
SRR2075686_rloop_peak_8822	0	1
SRR2075686_rloop_peak_8818	0	1
SRR2075686_rloop_peak_8809	0	1
SRR2075686_rloop_peak_88	0	1
SRR2075686_rloop_peak_8790	0	1
SRR2075686_rloop_peak_879	0	1
SRR2075686_rloop_peak_8771	0	1
SRR2075686_rloop_peak_8761	0	1
SRR2075686_rloop_peak_8758	0	1
SRR2075686_rloop_peak_8752	0	1
SRR2075686_rloop_peak_8750	0	1
SRR2075686_rloop_peak_875	0	1
SRR2075686_rloop_peak_8749	0	1
SRR2075686_rloop_peak_8743	0	1
SRR2075686_rloop_peak_872	0	1
SRR2075686_rloop_peak_8716	0	1
SRR2075686_rloop_peak_8706	0	1
SRR2075686_rloop_peak_8690	0	1
SRR2075686_rloop_peak_8682	0	1
SRR2075686_rloop_peak_8680	0	1
SRR2075686_rloop_peak_868	0	1
SRR2075686_rloop_peak_866	0	1
SRR2075686_rloop_peak_8640	0	1
SRR2075686_rloop_peak_864	0	1
SRR2075686_rloop_peak_8636	0	1
SRR2075686_rloop_peak_8633	0	1
SRR2075686_rloop_peak_8624	0	1
SRR2075686_rloop_peak_8599	0	1
SRR2075686_rloop_peak_8582	0	1
SRR2075686_rloop_peak_8579	0	1
SRR2075686_rloop_peak_8578	0	1
SRR2075686_rloop_peak_8556	0	1
SRR2075686_rloop_peak_8549	0	1
SRR2075686_rloop_peak_8545	0	1
SRR2075686_rloop_peak_8540	0	1
SRR2075686_rloop_peak_8532	0	1
SRR2075686_rloop_peak_8523	0	1
